date,close
2014/5/21,2668.56 
2014/5/22,2667.63 
2014/5/23,2698.97 
2014/5/26,2723.19 
2014/5/27,2713.60 
2014/5/28,2754.58 
2014/5/29,2727.62 
2014/5/30,2735.16 
2014/6/3,2729.07 
2014/6/4,2699.18 
2014/6/5,2733.65 
2014/6/6,2718.54 
2014/6/9,2705.45 
2014/6/10,2746.33 
2014/6/11,2755.90 
2014/6/12,2743.98 
2014/6/13,2777.24 
2014/6/16,2789.86 
2014/6/17,2760.91 
2014/6/18,2744.84 
2014/6/19,2682.46 
2014/6/20,2701.27 
2014/6/23,2718.91 
2014/6/24,2736.64 
2014/6/25,2723.30 
2014/6/26,2758.35 
2014/6/27,2769.41 
2014/6/30,2790.24 
2014/7/1,2796.14 
2014/7/2,2805.08 
2014/7/3,2822.09 
2014/7/4,2816.62 
2014/7/7,2808.50 
2014/7/8,2828.99 
2014/7/9,2775.79 
2014/7/10,2762.26 
2014/7/11,2779.69 
2014/7/14,2813.53 
2014/7/15,2809.55 
2014/7/16,2789.00 
2014/7/17,2769.16 
2014/7/18,2777.66 
2014/7/21,2780.48 
2014/7/22,2818.51 
2014/7/23,2801.79 
2014/7/24,2814.36 
2014/7/25,2845.56 
2014/7/28,2913.66 
2014/7/29,2938.53 
2014/7/30,2940.24 
2014/7/31,2970.37 
2014/8/1,2940.07 
2014/8/4,2984.08 
2014/8/5,3001.11 
2014/8/6,3012.54 
2014/8/7,2978.79 
2014/8/8,2991.20 
2014/8/11,3035.34 
2014/8/12,3035.89 
2014/8/13,3034.04 
2014/8/14,3003.99 
2014/8/15,3041.27 
2014/8/18,3081.99 
2014/8/19,3088.33 
2014/8/20,3083.23 
2014/8/21,3085.80 
2014/8/22,3104.89 
2014/8/25,3073.34 
2014/8/26,3030.84 
2014/8/27,3042.75 
2014/8/28,3011.33 
2014/8/29,3047.38 
2014/9/1,3092.39 
2014/9/2,3129.88 
2014/9/3,3152.74 
2014/9/4,3173.71 
2014/9/5,3189.03 
2014/9/9,3196.46 
2014/9/10,3193.64 
2014/9/11,3185.54 
2014/9/12,3207.08 
2014/9/15,3214.05 
2014/9/16,3115.08 
2014/9/17,3135.62 
2014/9/18,3150.39 
2014/9/19,3170.26 
2014/9/22,3119.92 
2014/9/23,3152.53 
2014/9/24,3198.90 
2014/9/25,3193.57 
2014/9/26,3196.41 
2014/9/29,3215.19 
2014/9/30,3229.94 
2014/10/8,3275.09 
2014/10/9,3286.50 
2014/10/10,3272.66 
2014/10/13,3261.94 
2014/10/14,3253.62 
2014/10/15,3271.84 
2014/10/16,3225.93 
2014/10/17,3216.81 
2014/10/20,3250.52 
2014/10/21,3215.70 
2014/10/22,3186.20 
